,eventIdx,game_id,Game Seconds,Game Period,X-Coordinate,Y-Coordinate,Shot Distance,Shot Angle,Shot Type,Was Net Empty,Last Event Type,Last X-Coordinate,Last Y-Coordinate,Time from Last Event (seconds),Distance from Last Event,Is Rebound,Change in Shot Angle,Speed,Team Name,Is Goal,xG
37,234,2021020329,2521,3,49,-22,139.74262055650738,99.05788812861765,3,0,1,69,22,75,48.33218389437829,0,0,0.6444291185917105,Carolina Hurricanes,0,0.009455925785005093
38,237,2021020329,2629,3,-57,20,37.73592452822641,57.9946167919165,0,0,2,62,-15,5,124.04031602668546,0,0,24.808063205337092,Carolina Hurricanes,0,0.005225796718150377
39,238,2021020329,2635,3,-60,-7,29.832867780352597,103.57043438516148,0,0,5,-57,20,6,27.16615541441225,1,45.57581759324498,4.527692569068708,Carolina Hurricanes,0,0.03800777345895767
40,244,2021020329,2683,3,-67,-8,23.40939982143925,109.98310652189997,3,0,6,-75,19,7,28.160255680657446,0,0,4.02289366866535,Carolina Hurricanes,0,0.19861218333244324
41,246,2021020329,2708,3,-71,-29,34.132096331752024,148.1725534233269,3,0,0,-14,-41,15,58.249463516842795,0,0,3.8832975677895196,Carolina Hurricanes,0,0.0025617065839469433
42,250,2021020329,2749,3,-80,-1,9.055385138137417,96.3401917459099,5,0,4,63,40,12,148.7615541731129,0,0,12.396796181092741,Carolina Hurricanes,0,0.5275237560272217
43,251,2021020329,2751,3,-82,1,7.0710678118654755,81.86989764584403,0,0,5,-80,-1,2,2.8284271247461903,1,-14.470294100065871,1.4142135623730951,Carolina Hurricanes,0,0.3230280578136444
44,252,2021020329,2760,3,-4,25,96.30160954002794,105.04639183219851,0,0,5,-82,1,9,81.60882305241266,1,23.176494186354475,9.067647005823629,Washington Capitals,0,0.0026471649762243032
45,264,2021020329,2909,3,-27,-22,65.7875368135941,109.53665493812838,3,0,3,-64,-3,24,41.593268686170845,0,0,1.7330528619237853,Carolina Hurricanes,0,0.00043447388452477753
46,279,2021020329,3050,3,-83,1,6.082762530298219,80.53767779197439,0,0,4,-18,18,8,67.1863081289633,0,0,8.398288516120413,Carolina Hurricanes,0,0.08815368264913559
47,290,2021020329,3162,3,-49,-15,42.720018726587654,110.55604521958347,2,0,1,-69,-22,14,21.18962010041709,0,0,1.5135442928869351,Carolina Hurricanes,0,0.06698429584503174
48,303,2021020329,3298,3,81,1,8.06225774829855,97.1250163489018,1,0,0,-67,-39,24,153.3101431738944,0,0,6.3879226322456,Washington Capitals,0,0.4145573675632477
49,308,2021020329,3350,3,55,25,42.20189569201838,126.32682595212023,2,0,1,69,22,20,14.317821063276353,0,0,0.7158910531638176,Washington Capitals,0,0.0024327728897333145
50,310,2021020329,3380,3,52,-16,40.311288741492746,66.61477894278624,2,0,6,63,22,9,39.56008088970496,0,0,4.3955645433005515,Washington Capitals,0,0.1447669118642807
51,311,2021020329,3425,3,84,-5,7.0710678118654755,45.0,0,0,5,52,-16,45,33.83784863137726,1,-21.614778942786245,0.7519521918083836,Washington Capitals,1,0.10519890487194061
52,314,2021020329,3450,3,-55,14,36.76955262170047,67.61986494804043,3,0,6,-76,-4,10,27.65863337187866,0,0,2.765863337187866,Carolina Hurricanes,0,0.024846835061907768
53,318,2021020329,3499,3,-77,-12,166.43316977093238,85.86532862626359,0,1,0,-74,-39,5,27.16615541441225,0,0,5.4332310828824495,Washington Capitals,1,0.9996944665908813
